ID,Title,Username,Categories,History Scraped Completely
1663899466,LEE SHAW lOO THE WAY OF THE INTERCEPTING MARTIAL ART,@way_of_wushu,Education & Research,True
2196748321,Human🧠GBT,@humanbeingGBT,Education & Research,True
2301742755,مذكرات غريب,@ssusussjs,Novels & Manga,True
1191843184,نصائح تيليجرام,@TelegramTipsAR,Education & Research,True
1623099114,نت مجاني كونفجات ثغرات مصر,@NET_FFREE,Programming & Automation,True
2346294845,ForYouCommunity,id/2346294845,"Programming & Automation, AI & Machine Learning, Education & Research",True
1003662500,📢 MR.Joker 📢,@magiciantv,Programming & Automation,True
1748140422,abqareno.site,@abqareno3,Programming & Automation,True
1490054816,نداء الاقصى,@o_in_o,Education & Research,True
2634830092,# تحدي_بايثون | #Python_Challenge,@Python_Tahadi,Programming & Automation,True
2192519303,فيلم في الخفيف,@filmfelkhafif,Novels & Manga,True
2038965827,ᔆ ᴾ ᴱ ᴱ ᴰ ™ ⌁ ⃝⃟🇪🇬,@l_s_I_I,"GIS & Remote Sensing, Programming & Automation, AI & Machine Learning, Education & Research",True
2168991425,𓏺𝙿𝚈𝚃𝙷𝙾𝙽𝚃𝙾𝙾𝙻𝚂,@JJ7AA1,Other,True
2636143274,DramaBox StardustTV FlickReels KalosTV SnackShort MoboReels Serial+ TouchShort DreameShort dailymotion دراما قصيرة باتريشيا حلقا,@topshortdrama,Novels & Manga,True
3491877076,شغل اونلاين مضمون 🚨,id/3491877076,Education & Research,True
1265912123,مكتبة المليون كتاب,@lovekotob,"Novels & Manga, Education & Research",True
1494122938,محمد الجيلاني,@u222c,Other,True
1426861940,NW YouTube Ch1,@NWchannel1,Programming & Automation,True
1539531131,W A L E D,@W_Q_P_P,Programming & Automation,True
2623332261,Network Mysteries – (2),@python_char_89,Programming & Automation,True
2012627209,Free internet,@EGY248,Programming & Automation,True
1846264434,ثغرات نت مجاني كونفجات,id/1846264434,Programming & Automation,True
1783875039,كونفجات نت مجاني مصر 🇪🇬 ᴇɢʏᴘᴛ,@NetFrree,Programming & Automation,True
2010682416,Free internet 2,@EG2408,Programming & Automation,True
2010067323,انمي غاتشياكوتا | Gachiakuta,id/2010067323,Other,True
2653035724,Private channel,id/2653035724,Programming & Automation,True
2572030342,Private channel,id/2572030342,Other,True
1515662758,Programming For You - طريقك لأحتراف البرمجة,@ArabLibrary,Programming & Automation,True
2345650813,PAYPAL VIP,id/2345650813,Programming & Automation,True
1830718906,Tech Topia - عبيدة ابو قويدر,@Obayda_Tech_General,"Programming & Automation, AI & Machine Learning, Education & Research",True
2483503676,كتب واقوال مأثورة,@gnral4046,Other,True
1836739405,About: N α ɪ f,@Nai61,"Programming & Automation, AI & Machine Learning",True
2066978655,𝐓𝐞𝐚𝐦 𝐬𝐚𝐩𝐢𝐬𝐭𝐢𝐚𝐧 👾,@JJ7AA,Other,True
1921119023,DARK Team,@Dark_ccn,Other,True
1906071699,حلقات انمي ون بيس,id/1906071699,Other,True
1864983396,اولي جغرافيا 🌍🌏,@Bekovxb,"Education & Research, GIS & Remote Sensing",True
1847051620,Dr.Abeer لغة انجليزية أولى جغرافيا,id/1847051620,Education & Research,True
